name,year,link
Európsky parlament,2019,sk/europsky-parlament-2019/
Inventúra hlasovaní Európsky parlament 2014-2019,2019,sk/inventura-hlasovani-europsky-parlament-2014-2019/
Liptovský Hrádok 2018,2018,sk/liptovsky-hradok-2018/
Voľby,2016,volby-2016/
Inventúra hlasovaní Národná rada 2012-2015,2015,inventura-hlasovani-narodna-rada-2012-2015/
Velká Británia ,2015,velka-britania-2015/
2014 es Europai parlamenti valasztas,2014,2014-es-europai-parlamenti-valasztas/
Európsky parlament,2014,europsky-parlament-2014/
Inventúra hlasovaní Európsky parlament 2009-2014,2014,inventura-hlasovani-europsky-parlament-2009-2014/
Voľba prezidenta,2014,volba-prezidenta-2014/
Voľby VÚC,2013,volby-vuc-2013/
