"V1"	"V2"
"1"	"1"	"0.1621714668538"
"10"	"10"	"-0.11004493550994"
"11"	"11"	"0"
"12"	"12"	"0"
"13"	"13"	"0"
"14"	"14"	"-0.438766699432014"
"15"	"15"	"-0.283994893352892"
"16"	"16"	"0"
"17"	"17"	"-0.11004493550994"
"18"	"18"	"-0.0156942930645406"
"19"	"19"	"-0.103576491615453"
"2"	"2"	"0.120640299796632"
"20"	"20"	"-0.11004493550994"
"21"	"21"	"0"
"22"	"22"	"-0.11004493550994"
"23"	"23"	"-0.373536381624423"
"24"	"24"	"-0.11004493550994"
"25"	"25"	"0"
"26"	"26"	"-0.375853055129259"
"27"	"27"	"-0.102590457081743"
"28"	"28"	"-0.412152045576744"
"29"	"29"	"-0.0874665374629546"
"3"	"3"	"0.206249079867738"
"30"	"30"	"0"
"4"	"4"	"0.195911519355675"
"5"	"5"	"-0.152807748935169"
"6"	"6"	"-0.10337726392371"
"7"	"7"	"-0.102359649165963"
"8"	"8"	"-0.0670826916887959"
"9"	"9"	"-0.125216077801979"
